"High level Criteria"	"Property family"	"Property"	"Hemeroteca Digital Brasileira (HDB)"	"Biblioteca Nacional Digital de Portugal (BND-PT)"	"Hemeroteca Digital de Lisboa (HDL)"
"Content search"	"enrichment"	"Crowd-sourced post-OCR correction"	"n"	"n"	"n"
"Content search"	"enrichment"	"Topic Modeling"	"n"	"n"	"n"
"Content search"	"enrichment"	"Text re-use"	"n"	"n"	"n"
"Content search"	"enrichment"	"Sentiment Analysis"	"n"	"n"	"n"
"Content search"	"enrichment"	"Event detection"	"n"	"n"	"n"
"Generosity"	"search"	"Query autocomplete"	"n"	"y"	"n"
"Generosity"	"search"	"Query suggestion"	"n"	"n"	"n"
"Generosity"	"result display"	"Distribution over time"	"y"	"y"	"n"
"Generosity"	"result display"	"Distribution by publication place"	"n"	"n"	"n"
"Generosity"	"result display"	"Distribution by NP"	"y"	"y"	"y"
"Generosity"	"result display"	"Distribution by place names in articles"	"n"	"n"	"n"
"Generosity"	"result display"	"Ngrams"	"n"	"n"	"n"
"Generosity"	"viewer"	"Option to continue to next page"	"y"	"y"	"y"
"Generosity"	"user interaction"	"Article recommendations"	"n"	"n"	"n"
"Generosity"	"enrichment"	"Query"	"n"	"n"	"n"
"Generosity"	"enrichment"	"Recommendations"	"n"	"n"	"n"
"Content filtering"	"result sorting"	"By relevance"	"n"	"y"	"n"
"Content filtering"	"result sorting"	"By date"	"y"	"y"	"n"
"Content filtering"	"result sorting"	"By NP title"	"y"	"y"	"n"
"Content filtering"	"result sorting"	"By article title"	"n"	"n"	"n"
"Content filtering"	"result sorting"	"By content type"	"n"	"n"	"n"
"Content filtering"	"result sorting"	"By online pub. date"	"n"	"y"	"n"
"Content filtering"	"result sorting"	"By author"	"n"	"n"	"n"
"Content filtering"	"result sorting"	"By quality of text"	"n"	"n"	"n"
"Content filtering"	"result sorting"	"By language"	"n"	"n"	"n"
"Content filtering"	"result sorting"	"By popularity"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By NP titles"	"y"	"n"	"n"
"Content filtering"	"result filtering"	"By periodicity"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By NP orientation"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By newspaper thematic (metadata)"	"n"	"y"	"n"
"Content filtering"	"result filtering"	"By content types"	"n"	"y"	"n"
"Content filtering"	"result filtering"	"By sections"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By events"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By persons"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By organisations"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By places mentioned in text"	"n"	"?"	"n"
"Content filtering"	"result filtering"	"By time period"	"y"	"y"	"n"
"Content filtering"	"result filtering"	"By topics"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By manual tags"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By publication place"	"y"	"y"	"n"
"Content filtering"	"result filtering"	"By archive"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By publisher"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By article length"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By authors"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By segmentation level"	"n"	"n"	"n"
"Content filtering"	"result filtering"	"By language"	"n"	"y"	"n"
"Content filtering"	"result filtering"	"By license"	"n"	"y"	"n"
"Content filtering"	"result filtering"	"By online pub. date"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Save articles to favorites"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Save queries to favorites"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Tag articles"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Keep track of viewed materials"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Permalinks"	"y"	"y"	"n"
"User content management/exploration"	"user interaction"	"Export citation"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Screenshot tool"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Download options (file formats)"	"JPG"	"PDF, JPG"	"PDF, JPG"
"User content management/exploration"	"user interaction"	"Bulk downloads"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Organise articles in collections"	"n"	"n"	"n"
"User content management/exploration"	"user interaction"	"Contrastive view of collections"	"n"	"n"	"n"
"Connectivity"	"newspaper metadata"	"External links"	"n"	"y"	"y"
"Connectivity"	"connectivity"	"Third party identifiers"	"n"	"y"	"n"
"Connectivity"	"connectivity"	"Links to other repositories"	"n"	"n"	"n"
"Connectivity"	"connectivity"	"SW technologies"	"n"	"n"	"n"
