"Property family"	"Property"	"Hemeroteca Digital Brasileira (HDB)"	"Biblioteca Nacional Digital de Portugal (BND-PT)"	"Hemeroteca Digital de Lisboa (HDL)"
"user interaction"	"Tag articles"	"n"	"n"	"n"
"user interaction"	"Keep track of viewed materials"	"n"	"n"	"n"
"user interaction"	"Article recommendations"	"n"	"n"	"n"
"user interaction"	"Permalinks"	"y"	"y"	"n"
"user interaction"	"Export citation"	"n"	"n"	"n"
"user interaction"	"Option to correct OCR"	"n"	"n"	"n"
"user interaction"	"Option to correct OLR"	"n"	"n"	"n"
"user interaction"	"Add/edit of metadata"	"n"	"n"	"n"
"user interaction"	"Screenshot tool"	"n"	"n"	"n"
"user interaction"	"Download options (file formats)"	"JPG"	"PDF, JPG"	"PDF, JPG"
"user interaction"	"Bulk downloads"	"n"	"n"	"n"
"user interaction"	"Organise articles in collections"	"n"	"n"	"n"
"user interaction"	"Contrastive view of collections"	"n"	"n"	"n"
"user interaction"	"Other"	"Possível salvar imagens da página apenas clicando com o botão direito do mouse"	"Permite comparar duas páginas"	"-"
"info on digitization"	"OLR at article level"	"n"	"n"	"n"
"info on digitization"	"OCR confidence scores"	"n"	"n"	"n"
"info on digitization"	"OLR confidence scores"	"n"	"n"	"n"
"info on digitization"	"Documentation of biases"	"n"	"n"	"n"
"info on digitization"	"Search result relevance score"	"n"	"n"	"n"
"info on digitization"	"Digitisation date at title level"	"n"	"n"	"n"
"info on digitization"	"Scan resolution"	"n"	"n"	"n"
"info on digitization"	"Used OCR tools"	"n"	"n"	"n"
"info on digitization"	"Copyright notice"	"y"	"y"	"n"
"info on digitization"	"Documentation of scan methods"	"n"	"n"	"n"
"enrichment"	"NERC"	"n"	"n"	"n"
"enrichment"	"Entity linking"	"n"	"n"	"n"
"enrichment"	"Automatic post-OCR correction"	"n"	"n"	"n"
"enrichment"	"Crowd-sourced post-OCR correction"	"n"	"n"	"n"
"enrichment"	"Topic Modeling"	"n"	"n"	"n"
"enrichment"	"Text re-use"	"n"	"n"	"n"
"enrichment"	"Sentiment Analysis"	"n"	"n"	"n"
"enrichment"	"Query"	"n"	"n"	"n"
"enrichment"	"Recommendations"	"n"	"n"	"n"
"enrichment"	"Event detection"	"n"	"n"	"n"
"connectivity"	"Third party identifiers"	"n"	"y"	"n"
"connectivity"	"Links to other repositories"	"n"	"n"	"n"
"connectivity"	"SW technologies"	"n"	"n"	"n"
"apis"	"Link to source code of the interface"	"n"	"n"	"n"
"apis"	"API"	"n"	"n"	"n"
"apis"	"IIIF Image API"	"n"	"n"	"n"
"apis"	"IIIF Presentation API"	"n"	"n"	"n"
