Propriedade,Grupo de propriedades,Critério de avaliação,HDB,BND-PT,"Hemeroteca Digital, Lisboa"
Por tag manual,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,não,não,não
Por local de publicação,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,sim,sim,não
Por editor,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,não,não,não
Por extensão do artigo,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,não,não,não
Pelo nível de segmentação,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,não,não,não
Por idioma,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,não,sim,não
Por licença / acessibilidade,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,não,sim,não
Pela data de publicação online,G - Filtros nos resultados da busca,3 - Filtro de conteúdo,não,não,não
Exibição de facsimile,H - Visualizador,1 - Crítica da fonte,sim,sim,sim
Exibição de texto com OCR,H - Visualizador,1 - Crítica da fonte,não,sim,não
Mostra página cheia,H - Visualizador,1 - Crítica da fonte,sim,sim,sim
Mini-mapa interativo da página,H - Visualizador,1 - Crítica da fonte,não,sim,não
Visão geral das edições disponíveis,H - Visualizador,1 - Crítica da fonte,sim,sim,sim
Opção para continuar para a próxima página,H - Visualizador,4 - Generosidade,sim,sim,sim
Análise de layout do documento ao nível de artigo,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Pontuação de confiabilidade da análise de layout,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Documentação sobre vieses e preconceitos,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Pontuação de relevância dos resultados da busca,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Data de digitalização ao nível de título,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Resolução da digitalização em dpi,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Informações sobre ferramentas de OCR utilizadas,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Aviso de copyright,I - Documentação sobre a digitalização,1 - Crítica da fonte,sim,sim,não
Documentação sobre métodos de digitalização,I - Documentação sobre a digitalização,1 - Crítica da fonte,não,não,não
Salvar artigos para favoritos,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Salvar queries para favoritos,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Etiquetar artigos,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Manter registro dos materiais visualizados,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Recomendações de artigos,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Links permanentes,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,sim,sim,não
Exportar citações,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Opção de corrigir OCR,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Opção de corrigir OLR,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Usuário pode adicionar/editar metadados,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Ferramenta de screenshot,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Opções de Download (formatos de ficheiros),J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,sim,sim
Download em massa,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Organizar artigos em coleções,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,não,não
Visualização comparativa de coleções pessoais,J - Conta pessoal e interações do usuário,5 - Gerenciamento e exploração de conteúdo pelo usuário,não,sim,não
Identificador de terceiros,K - Conectividade,6 - Conectividade,não se aplica,sim,não
Links para outros repositórios,K - Conectividade,6 - Conectividade,não,não,não
Tecnologias de web semântica,K - Conectividade,6 - Conectividade,não,não,não
Link para o código fonte da interface,L - APIs e códigos,1 - Crítica da fonte,não,não,não
API,L - APIs e códigos,1 - Crítica da fonte,não,não,não
IIIF Image API,L - APIs e códigos,1 - Crítica da fonte,não,não,não
IIIF Presentation API,L - APIs e códigos,1 - Crítica da fonte,não,não,não
NERC,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Link de entidades,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Correção pós-OCR,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Topic modeling,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Text re-use,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Sentiment analysis,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Query,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Event detection,M - Processamento de conteúdo,2 - Busca de conteúdo,não,não,não
Recomendações,M - Processamento de conteúdo,4 - Generosidade,não,não,não
