Título,Anos,Local,Fichas Históricas,Quantidade de PDF,Links dos PDFs
Branco e Negro ,['1896-1898'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/../../FichasHistoricas/BrancoeNegro.pdf,25,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Abril/Abril_master/BrancoeNegroN1aN4.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Maio/Maio_master/BrancoeNegroN5aN9.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Junho/Junho_master/BrancoeNegroN10aN13.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Julho/Julho_master/BrancoeNegroN14aN17.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Agosto/Agosto_master/BrancoeNegroN18aN22.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Setembro/Setembro_master/BrancoeNegroN23aN26.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Outubro/Outubro_master/BrancoeNegroN27aN30.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Novembro/Novembro_master/BrancoeNegroN31aN35.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Dezembro/Dezembro_master/BrancoeNegroN36aN39.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1896/Dezembro/Dezembro_master/BrancoeNegroN36aN39.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Janeiro/Janeiro_master/BrancoeNegroN40aN44.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Fevereiro/Fevereiro_master/BrancoeNegroN45aN48.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Marco/Marco_master/BrancoeNegroN49a52.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Abril/Abril_master/BrancoeNegroN53aN56.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Maio/Maio_master/BrancoeNegroN57aN61.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Junho/Junho_master/BrancoeNegroN62aN65.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Julho/Julho_master/BrancoeNegroN66aN69.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Agosto/Agosto_master/BrancoeNegroN70aN74.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Setembro/Setembro_master/BrancoeNegroN75aN78.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Outubro/Outubro_master/BrancoeNegroN79aN83.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Novembro/Novembro_master/BrancoeNegroN84aN87.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1897/Dezembro/Dezembro_master/BrancoeNegroN88aN91.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1898/Janeiro/Janeiro_master/BrancoeNegroN92aN96.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1898/Fevereiro/Fevereiro_master/BrancoeNegroN97aN100.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/BrancoeNegro/1898/Marco/Marco_master/BrancoeNegroN101aN104.PDF']"
O Branco e Negro ,['1899'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/OBrancoeNegro/../../FichasHistoricas/OBrancoeNegro.pdf,5,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OBrancoeNegro/N0/N0_master/OBrancoeNegro1899N0.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OBrancoeNegro/N1/N1_master/OBrancoeNegro1899N1.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OBrancoeNegro/N2/N2_master/OBrancoeNegro1899N2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OBrancoeNegro/N3/N3_master/OBrancoeNegro1899N3.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OBrancoeNegro/N4/N4_master/OBrancoeNegro1899N4.pdf']"
Brasil-Portugal: revista quinzenal ilustrada ,['1899-1914'],Sem local,https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/../../FichasHistoricas/BrasilPortugal.pdf,17,"['https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1900_1901/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1901_1902/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1902_1903/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1903_1904/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1904_1905/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1905_1906/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1906_1907/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1907_1908/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1908_1909/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1909_1910/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1910_1911/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1911_1912/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1912_1913/Indice/indice_master/IND.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1982/N2/N2_master/N2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/N2/N2_master/N2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/1982/N2/N2_master/N2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/BrasilPortugal/N2/N2_master/N2.pdf']"
Cabo Verde : boletim de propaganda e informação ,['1949'],Praia,Sem Ficha Histórica,1,['https://hemerotecadigital.cm-lisboa.pt/Periodicos/CaboVerde/N01/CaboVerde_master/CaboVerde_BoletimdePropagandaeInformação_Ano1_N01_01Out1949.pdf']
"O campeão : semanario de literatura, critica e de sport ","['1899', '1901']",Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/../../FichasHistoricas/OCampeao.pdf,7,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/N01/N01_master/OCampeaoN01.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/N02/N02_master/OCampeaoN02.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/N03/N03_master/OCampeaoN03.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/N04/N04_master/OCampeaoN04.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/N06/N06_master/OCampeaoN06.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/N13/N13_master/OCampeaoN13.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCampeao/N14/N14_master/OCampeaoN14.PDF']"
ACancaodePortugal,['1916-1917'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/../../FichasHistoricas/ACancaodePortugal.pdf,19,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N014/N014_master/ACancaodePortugalN014.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N014/N014_master/ACancaodePortugalN014.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N014/N014_master/ACancaodePortugalN014.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N017/N017_master/ACancaodePortugalN017.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N017/N017_master/ACancaodePortugalN017.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N031/N031_master/ACancaodePortugalN031.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N034/N034_master/ACancaodePortugalN034.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N034/N034_master/ACancaodePortugalN034.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N034/N034_master/ACancaodePortugalN034.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N035/N035_master/ACancaodePortugalN035.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N036/N036_master/ACancaodePortugalN036.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N039/N039_master/ACancaodePortugalN039.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N039/N039_master/ACancaodePortugalN039.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N040/N040_master/ACancaodePortugalN040.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1916/N040/N040_master/ACancaodePortugalN040.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1917/N048/N048_master/ACancaodePortugalN048.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1917/N052/N052_master/ACancaodePortugalN052.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1917/N053/N053_master/ACancaodePortugalN053.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACancaodePortugal/1917/N062/N062_master/ACancaodePortugalN062.PDF']"
A Capital ,['1974'],Sem local,Sem Ficha Histórica,7,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/Capital/ACapital_25Abr1974/ACapital_25Abr1974_master/ACapital_25Abr1974.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Capital/ACapital_26Abr1974/ACapital_26Abr1974_master/ACapital_26Abr1974.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Capital/ACapital_27Abr1974_2Ed/ACapital_27Abr1974_2Ed_master/ACapital_27Abr1974_2Ed.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Capital/ACapital_28Abr1974/ACapital_28Abr1974_master/ACapital_28Abr1974.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Capital/ACapital_29Abr1974/ACapital_29Abr1974_master/ACapital_29Abr1974.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Capital/ACapital_30Abr1974/ACapital_30Abr1974_master/ACapital_30Abr1974.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Capital/ACapital_2Mai1974/ACapital_2Mai1974_master/ACapital_2Mai1974.pdf']"
"O casmurro : semanario humoristico, theatral e charadistico ",['1905-1907'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/../../../../FichasHistoricas/OCasmurro.pdf,70,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N01/N01_master/OCasmurro_N01_08Mai1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N02/N02_master/OCasmurro_N02_15Mai1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N03/N03_master/OCasmurro_N03_22Mai1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N04/N04_master/OCasmurro_N04_29Mai1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N05/N05_master/OCasmurro_N05_05Jun1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N06/N06_master/OCasmurro_N06_12Jun1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N07/N07_master/OCasmurro_N07_19Jun1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N08/N08_master/OCasmurro_N08_26Jun1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N09/N09_master/OCasmurro_N09_03Jul1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N10/N10_master/OCasmurro_N10_10Jul1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N11/N11_master/OCasmurro_N11_17Jul1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N12/N12_master/OCasmurro_N12_24Jul1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N13/N13_master/OCasmurro_N13_31Jul1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N14/N14_master/OCasmurro_N14_07Ago1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N15/N15_master/OCasmurro_N15_14Ago1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N16/N16_master/OCasmurro_N16_12Ago1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N17/N17_master/OCasmurro_N17_28Ago1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N18/N18_master/OCasmurro_N18_04Set1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N19/N19_master/OCasmurro_N19_09Set1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N20/N20_master/OCasmurro_N20_11Set1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N21/N21_master/OCasmurro_N21_18Set1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N22/N22_master/OCasmurro_N22_25Set1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N23/N23_master/OCasmurro_N23_02Out1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N24/N24_master/OCasmurro_N24_09Out1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N25/N25_master/OCasmurro_N25_16Out1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N26/N26_master/OCasmurro_N26_23Out1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N27/N27_master/OCasmurro_N27_30Out1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N28/N28_master/OCasmurro_N28_06Nov1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N29/N29_master/OCasmurro_N29_13Nov1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N30/N30_master/OCasmurro_N30_20Nov1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N31/N31_master/OCasmurro_N31_27Nov1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N32/N32_master/OCasmurro_N32_04Dez1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N33/N33_master/OCasmurro_N33_11Dez1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N34/N34_master/OCasmurro_N34_18Dez1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1905/N35/N35_master/OCasmurro_N35_25Dez1905.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N36/N36_master/OCasmurro_N36_04Jan1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N38/N38_master/OCasmurro_N38_18Jan1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N38/N38_master/OCasmurro_N38_18Jan1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N38/N38_master/OCasmurro_N38_18Jan1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N39/N39_master/OCasmurro_N39_27Jan1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N39/N39_master/OCasmurro_N39_27Jan1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N40/N40_master/OCasmurro_N40_03Fev1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N41/N41_master/OCasmurro_N41_11Fev1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N42/N42_master/OCasmurro_N42_19Fev1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N42/N42_master/OCasmurro_N42_19Fev1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N42/N42_master/OCasmurro_N42_19Fev1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N43/N43_master/N43.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N43/N43_master/OCasmurro_N43_26Fev1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N43/N43_master/OCasmurro_N43_26Fev1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N44/N44_master/N44.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N44/N44_master/OCasmurro_N44_05Mar1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N44/N44_master/OCasmurro_N44_05Mar1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N45/N45_master/N45.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N45/N45_master/OCasmurro_N45_15Mar1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1906/N45/N45_master/OCasmurro_N45_15Mar1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N46/N46_master/N46.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N46/N46_master/OCasmurro_N46_06Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N46/N46_master/OCasmurro_N46_06Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N47/N47_master/N47.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N47/N47_master/OCasmurro_N47_13Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N47/N47_master/OCasmurro_N47_13Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N48/N48_master/N48.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N48/N48_master/OCasmurro_N48_20Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N48/N48_master/OCasmurro_N48_20Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N49/N49_master/N49.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N49/N49_master/OCasmurro_N49_27Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N49/N49_master/OCasmurro_N49_27Jan1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N50/N50_master/N50.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N50/N50_master/OCasmurro_N50_10Fev1907.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OCasmurro/1907/N50/N50_master/OCasmurro_N50_10Fev1907.pdf']"
Chama ,['1960-1964'],Sem local,Sem Ficha Histórica,15,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N1/N1_master/ChamaN1.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N2/N2_master/ChamaN2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N3/N3_master/ChamaN3.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N4/N4_master/ChamaN4.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N5/N5_master/ChamaN5.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N6/N6_master/ChamaN6.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N7/N7_master/ChamaN7.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N8/N8_master/ChamaN8.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N9/N9_master/ChamaN9.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N10/N10_master/ChamaN10.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N11/N11_master/ChamaN11.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N12/N12_master/ChamaN12.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N13/N13_master/ChamaN13.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N14/N14_master/ChamaN14.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Chama/N15/N15_master/ChamaN15.pdf']"
404 - File or directory not found.,[],Sem local,Sem Ficha Histórica,0,[]
A Choldra ,['1926'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/../../FichasHistoricas/ACholdra.pdf,21,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N01/N01_master/ACholdraN1.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N02/N02_master/ACholdraN2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N03/N03_master/ACholdraN3.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N04/N04_master/ACholdraN4.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N05/N05_master/ACholdraN5.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N06/N06_master/ACholdraN6.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N07/N07_master/ACholdraN7.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N08/N08_master/ACholdraN8.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N09/N09_master/ACholdraN9.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N10/N10_master/ACholdraN10.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N11/N11_master/ACholdraN11.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N12/N12_master/ACholdraN12.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N13/N13_master/ACholdraN13.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N14/N14_master/ACholdraN14.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N15/N15_master/ACholdraN15.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N16/N16_master/ACholdraN16.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N17/N17_master/ACholdraN17.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N18/N18_master/ACholdraN18.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N19/N19_master/ACholdraN19.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N20/N20_master/ACholdraN20.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/ACholdra/N21/N21_master/ACholdraN21.pdf']"
