Título,Material,Cód. título,Números de chamada local,Objeto Digital
Echos do Liz,Periódico,102906,,per890570
Eco Philatelico da America do Sul,Periódico,102967,,per164003
Ecos do Mundo,Periódico,103150,,per882321
Electron,Periódico,102175,,per410551
Entre-Rios Jornal,Periódico,103030,,per097098
Epoca Sportiva,Periódico,102134,,per410748
Escola,Periódico,102574,,per886920
Escola Agricola da Bahia,Periódico,102132,,per410802
Escudo,Periódico,102580,,per886939
Espaço Cultural,Periódico,102583,,per886947
Estrella D'alva,Periódico,102122,,per410667
Estrella do Minho,Periódico,102907,,per890626
Estudante,Periódico,102595,,per886963
Estudante,Periódico,102602,,per886971
Estudante,Periódico,102609,,per888389
Estudante,Periódico,102610,,per888397
ETC,Periódico,102968,,per165573
Etc e tal,Periódico,102613,,per886980
Eu Vejo Tudo,Periódico,102118,,per410756
Evolucao,Periódico,102617,,per887005
Evolucionista,Periódico,103151,"P28,02,122",per882330
Evoluçao,Periódico,102615,,per886998
Expresso de Minas,Periódico,102117,,per881856
EÇA,Periódico,102565,,per886904
Fanal,Periódico,102631,,per887013
Fatos marcantes,Periódico,102116,,per465291
Feira Livre,Periódico,102640,,per887030
Fest-Zeitung,Periódico,102654,,per887048
Flamma Verde,Periódico,102658,,per887064
Folha Academica,Periódico,102676,,per887080
Folha Academica. -,Periódico,102691,,per887102
Folha Acadêmica,Periódico,102680,,per887099
Folha de Caxias,Periódico,103152,,per882356
Folha de Hoje,Periódico,103153,,per882364
Folha de Ituiutaba,Periódico,102046,,per829846
Folha de Nanuque,Periódico,102032,,per829781
Folha de Nanuque,Periódico,102033,,per579580
Folha do Commercio,Periódico,102753,,per887161
Folha do Comércio,Periódico,102751,,per887153
Folha do Nordeste,Periódico,102030,,per882372
Folha do Norte,Periódico,102755,,per887170
Folha do Povo,Periódico,102029,,per875317
Folha do Povo,Periódico,103068,,per891975
Folha do sul,Periódico,102711,,per887110
Folha do Sul,Periódico,102759,,per887188
Folha do Sul,Periódico,102886,,per882380
Folha Esportiva,Periódico,102767,,per887196
Folha Guara-Sul,Periódico,102027,,per881864
Folha Guaranésia,Periódico,102028,,per881872
Folha Livre,Periódico,37079,PR-SOR 01140 [1],per887200
Folha Nova,Periódico,102726,,per887129
Folha Nova,Periódico,102775,,per887218
Folha Nova,Periódico,102802,,per887226
Folha Popular,Periódico,102015,,per882399
Folha Regional de Caxias do Sul,Periódico,102014,,per882402
Folha Rosea,Periódico,102732,,per887137
Fon-fon,Periódico,103037,,per102237
Foreign Ferry News,Periódico,102011,,per763306
Funenseg,Periódico,102601,,per891576
Futurista,Periódico,102805,,per887234
Gazeta Academica,Periódico,102009,,per350940
Gazeta Blumenauense,Periódico,102842,,per887293
Gazeta Brusquense,Periódico,102807,,per887242
Gazeta Catharinense,Periódico,102858,,per887307
Gazeta Colonial,Periódico,101980,,per882410
Gazeta de Caxias,Periódico,101978,,per882429
Gazeta de Itajahy,Periódico,102860,,per887315
Gazeta de Itajahy,Periódico,102863,,per887323
Gazeta de Joinville,Periódico,102812,,per887250
Gazeta de Lages,Periódico,102889,,per887331
Gazeta de Valloes,Periódico,102910,,per887340
Gazeta do commercio,Periódico,102824,,per887269
Gazeta do Commercio,Periódico,102836,,per887277
Gazeta do Itajahy,Periódico,102914,,per887358
Gazeta do Natal,Periódico,102918,,per887366
Gazeta do Sul,Periódico,102922,,per887374
Gazeta do Sul,Periódico,102924,,per887382
Gazeta Financeira,Periódico,101968,,per410322
Gazeta Joaquinense,Periódico,102926,,per887404
Gazeta Official do Estado de Santa Catharina,Periódico,102936,,per887420
Gazeta Orleanense,Periódico,102840,,per887285
Gazeta Popular,Periódico,102941,,per887439
Gazeta Regional,Periódico,101945,,per881880
Gazeta Universal,Periódico,101943,,per896713
Gazeta Universal,Periódico,102920,"P12,01,12-13",per890677
Gilvaz,Periódico,102948,,per887447
Goldenen Hochzeit,Periódico,102950,,per887455
Gremio Tres de Maio,Periódico,102952,,per887463
Guanabara Fluminense,Periódico,102943,,per105147
Guaranésia,Periódico,101934,,per881929
Guaranésia e seu Municipio,Periódico,101941,,per881899
Guaranésia em Revista,Periódico,101939,,per881902
Guaranésia Hoje,Periódico,101938,,per881910
Guia Bernstorff,Periódico,101932,,per410284
Hebdomadario Lisbonense,Periódico,102913,,per891070
Hiram,Periódico,102977,,per887471
Hochzeits,Periódico,102996,,per887480
Hochzeitsfeier,Periódico,103000,,per887498
Humoristika,Periódico,103141,,per887544
Hymnos e Flores,Periódico,101905,"P17,03,12",per896764
I.C.F.,Periódico,103029,,per887552
Il Colono,Periódico,103032,,per887560
Il Colono Italiano,Periódico,101904,,per882437
Il Giornale Dell' Agricoltore / O Jornal do Agricultor,Periódico,101902,,per882445
Ilha,Periódico,103040,,per887579
Ilha verde,Periódico,103045,,per887587
Illustrazione Coloniale,Periódico,101875,,per351113
Illustração Photographica,Periódico,101876,,per352012
Immigrant,Periódico,103046,,per887595
Immigrant,Periódico,103051,,per887609
Imprensa,Periódico,103052,,per887617
Imprensa e Lei,Periódico,101835,,per896969
Imprensa Official,Periódico,103064,,per887633
Independente,Periódico,102646,,per888664
Industria e Commercio,Periódico,101834,,per882453
Industria e Commercio de Moveis do Brazil,Periódico,101818,,per352055
Informador-Correios e Telegraphos,Periódico,101817,,per351890
Informativo,Periódico,103077,,per887676
Informativo Chapecó,Periódico,103074,,per887668
Informação goyana,Periódico,102971,,per176648
Informe Celular,Periódico,103078,,per887684
Instituto Technico Commercial e Naval,Periódico,101816,,per893013
Instituto Technico commercial e naval,Periódico,102853,,per888354
Intercambio nipo-brasileiro,Periódico,101813,,per352098
Ipiranga,Periódico,103079,,per887692
Ipiranga,Periódico,103082,,per887706
Itajahy,Periódico,103083,,per887714
Jamais Sororoca,Periódico,103084,,per887722
