Título,Material,Cód. título,Números de chamada local,Objeto Digital
Registro em Letras e Fotos,Periódico,102838,,per892211
Região Serrana,Periódico,102837,,per892165
Renovação,Periódico,102844,,per892262
Republica,Periódico,102603,,per896063
Republica,Periódico,102845,,
Retoques,Periódico,102846,,per892360
Revista bibliografica,Periódico,103055,,per324108
Revista brasileira de cultura,Periódico,102954,,per140074
Revista brasileira de folclore,Periódico,102957,,per140171
Revista Criminal,Periódico,102991,,per340774
Revista da Sociedade Brasileira de Sciencias,Periódico,103047,,per372986
Revista das Revistas,Periódico,102958,,per142247
Revista de Arquitetura,Periódico,102959,,per142328
Revista de cultura brasileña,Periódico,102916,,per008109
Revista de Ensino Primario,Periódico,102849,,per892815
Revista de imigração e colonização,Periódico,102960,,per143030
Revista de lingua portuguesa,Periódico,103080,,per179639
Revista de Pernambuco,Periódico,102975,,per212962
Revista de Santa Catharina,Periódico,102848,,per892769
Revista do Arquivo Municipal de São Paulo,Periódico,102961,,per143537
Revista do Centro Catharinense de Letras,Periódico,102850,,per892866
Revista do Comercio,Periódico,102851,,per892912
Revista do Commercio,Periódico,102852,,per892963
Revista do Municipio,Periódico,102970,,per174637
Revista Jornal das Praias,Periódico,103093,,per891673
Revista medica da Aeronautica / Ministerio da Aeronautica. Diretoria de Saude,Periódico,102962,,per146374
Revista nacional,Periódico,102986,,per331600
Santa Catharina,Periódico,102854,,
Sociedade Brasileira de Orquidófilos,Periódico,102939,,per71168
Sonntagsblatt,Periódico,102855,,per893617
Sul,Periódico,102770,,per889857
Sul-Americano,Periódico,102856,,per893765
Suplemento da Revista Automovel Club,Periódico,102964,,per151467
Supplemento Semanal Illustrado,Periódico,102857,,per893811
Teatro Ilustrado,Periódico,103042,,per152463
Terra Livre,Periódico,102862,,per894060
Terra Livre,Periódico,102864,,per894117
Teutonia Faschingsnummer,Periódico,102865,,per894265
Tom-Pouce,Periódico,102866,,per894362
Trabalho,Periódico,102867,,per894419
Tribuna do Povo,Periódico,102868,,per894460
Tribuna Popular,Periódico,102869,,per894516
Tubaronense,Periódico,102870,,per894567
Typographo,Periódico,102871,,per894613
Ulk,Periódico,102872,,per894664
Vanguarda,Periódico,102873,,per894869
Vanguarda,Periódico,102875,,per895067
Vanguarda,Periódico,102877,,per895164
Vera-Cruz,Periódico,102878,,per895210
Verdade,Periódico,102879,,per895261
Via Lateral,Periódico,102880,,per895318
Vida Futura,Periódico,102881,,per895369
Vida literária,Periódico,103005,,per367923
Vida nocturna,Periódico,103006,,per367931
Vida nova,Periódico,103007,,per367940
Vita Coloniale,Periódico,102882,,per895466
Ze Pereira,Periódico,102883,,per895865
698,,,,
