"Propriedade","Grupo de propriedades","Critério de avaliação","HDB","BND-PT","Hemeroteca Digital, Lisboa"
"Por licença / acessibilidade","G - Filtros nos resultados da busca","3 - Filtro de conteúdo",,,
"Pela data de publicação online","G - Filtros nos resultados da busca","3 - Filtro de conteúdo",,,
"Exibição de facsimile","H - Visualizador","1 - Crítica da fonte",,,
"Exibição de texto com OCR","H - Visualizador","1 - Crítica da fonte",,,
"Mostra página cheia","H - Visualizador","1 - Crítica da fonte",,,
"Mini-mapa interativo da página","H - Visualizador","1 - Crítica da fonte",,,
"Visão geral das edições disponíveis","H - Visualizador","1 - Crítica da fonte",,,
"Opção para continuar para a próxima página","H - Visualizador","4 - Generosidade",,,
"Análise de layout do documento ao nível de artigo","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Pontuação de confiabilidade da análise de layout","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Documentação sobre vieses e preconceitos","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Pontuação de relevância dos resultados da busca","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Data de digitalização ao nível de título","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Resolução da digitalização em dpi","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Informações sobre ferramentas de OCR utilizadas","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Aviso de copyright","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Documentação sobre métodos de digitalização","I - Documentação sobre a digitalização","1 - Crítica da fonte",,,
"Salvar artigos para favoritos","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Salvar queries para favoritos","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Etiquetar artigos","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Manter registro dos materiais visualizados","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Recomendações de artigos","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Links permanentes","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Exportar citações","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Opção de corrigir OCR","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Opção de corrigir OLR","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Usuário pode adicionar/editar metadados","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Ferramenta de screenshot","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Opções de Download (formatos de ficheiros)","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Download em massa","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Organizar artigos em coleções","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Visualização comparativa de coleções pessoais","J - Conta pessoal e interações do usuário","5 - Gerenciamento e exploração de conteúdo pelo usuário",,,
"Identificador de terceiros","K - Conectividade","6 - Conectividade",,,
"Links para outros repositórios","K - Conectividade","6 - Conectividade",,,
"Tecnologias de web semântica","K - Conectividade","6 - Conectividade",,,
"Link para o código fonte da interface","L - APIs e códigos","1 - Crítica da fonte",,,
"API","L - APIs e códigos","1 - Crítica da fonte",,,
"IIIF Image API","L - APIs e códigos","1 - Crítica da fonte",,,
"IIIF Presentation API","L - APIs e códigos","1 - Crítica da fonte",,,
"NERC","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Link de entidades","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Correção pós-OCR","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Topic modeling","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Text re-use","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Sentiment analysis","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Query","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Event detection","M - Processamento de conteúdo","2 - Busca de conteúdo",,,
"Recomendações","M - Processamento de conteúdo","4 - Generosidade",,,
,"M - Processamento de conteúdo","4 - Generosidade",,,
