Título,Material,Cód. título,Números de chamada local,Objeto Digital
O Buscape,Periódico,96103,"P18,02,116",per747041
O Cabrito,Periódico,97975,PR-SOR 00563,per701734
O Caixeiro,Periódico,96813,PR-SOR 02869,per734730
O Cansanção,Periódico,97472,PR-SOR 02871,per710946
O Caolho,Periódico,97773,PR-SOR 00513,per702749
O Capadocio,Periódico,98020,PR-SOR 00525,per701416
O Cara Dura,Periódico,95895,"P36,06,123",per758841
O Caramuru,Periódico,97840,PR-SOR 00483,per702609
O Carapuceiro,Periódico,96035,PR-SOR 00168,per750000
O Careca,Periódico,95781,PR-SOR 04090,per770175
O Carpinteiro Joze,Periódico,97946,PR-SOR 00557,per701823
O Carranca,Periódico,96988,PR-SOR 02745,per719609
O Catão,Periódico,97842,PR-SOR 00488,per702595
O Ceara,Periódico,95851,PR-SPR 00861[1-4],per765198
O Ceara Moleque,Periódico,95797,PR-SOR 04271,per770167
O Ceará,Periódico,97348,PR-SOR 04329,per714275
O Censor Brasileiro,Periódico,97891,PR-SOR 00302,per702420
O Centenario,Periódico,100735,,per409820
O Charutinho,Periódico,100734,,per736384
O Cherubim,Periódico,38338,PR-SOR 03252 [1],per305030
O Cherubim,Periódico,100733,,per823821
O Christianismo,Periódico,100729,,per897612
O Cidadao,Periódico,29076,"P36,06,131",per403970
O Cidadao Soldado,Periódico,97974,PR-SOR 00568,per701742
O Cidadão,Periódico,97859,PR-SOR 04070,per403989
O Cidadão,Periódico,97872,PR-SOR 02731-02745,per408450
O Cinco de Janeiro,Periódico,97391,PR-SOR 04156,per712671
O Cinquentão,Periódico,100728,,per881953
O Clarim,Periódico,96090,PR-SOR 04135,per747246
O Clarim da Liberdade,Periódico,95727,PR-SOR 04073,per770647
O Clarim dos Theatros,Periódico,96985,PR-SOR 02370,per719714
O Combate,Periódico,95868,PR-SPR 00568[1-5],per764256
O Combate,Periódico,100698,,per881961
O Combatente,Periódico,100695,,per383198
O Cometa,Periódico,97922,PR-SOR 00489,per702021
O Commercial,Periódico,96805,PR-SOR 02874,per734756
O Commercial,Periódico,97383,PR-SOR 04125,per712698
O Commerciante,Periódico,95932,PR-SOR 02875,per758590
O Commercio,Periódico,97657,PR-SOR 02021,per704318
O Companheiro do Silêncio,Periódico,97269,PR-SOR 04254,per715760
O Condor,Periódico,97511,PR-SOR 05664,per365971
O Consequente,Periódico,97913,PR-SOR 00532,per702188
O Conservador,Periódico,95805,PR-SOR 01069,per767050
O Conservador,Periódico,96117,PR-SOR 04123,per743666
O Conservador,Periódico,97611,PR-SOR 03674,per366293
O Constitucional,Periódico,96896,PR-SPR 00212 [1],per721042
O Constitucional,Periódico,96936,PR-SOR 00669,per720712
O Contemporaneo,Periódico,96804,PR-SOR 02879,per734764
O Contemporaneo,Periódico,96850,PR-SOR 04202-04220,per284610
O Corisco,Periódico,100668,,per736414
O Correio da tarde,Periódico,100413,,per090000
O Correio Maceioense,Periódico,97919,PR-SOR 03606,per702064
O corsario,Periódico,97706,PR-SOR 02364,per379018
O Corsario Vermelho,Periódico,96650,"P17,01,92",per736783
O Corso,Periódico,100403,,per409944
O Cruzeiro,Periódico,97461,,per360163
O Cruzeiro do Sul,Periódico,97386,"P14,02,27",per349453
O Cruzeiro do Sul,Periódico,97907,PR-SPR 00252[1-3],per420530
O Cunhense,Periódico,96166,PR-SOR 04151,per743011
O Debate,Periódico,95827,PR-SPR 02272,per765660
O Debate,Periódico,96938,PR-SPR 00471 [1],per720542
O Debate Esportivo,Periódico,100398,,per882569
O Defensor da Legalidade,Periódico,97837,PR-SOR 00528,per702668
O Democrata,Periódico,96582,PR-SOR 03246,per737070
O Democrata,Periódico,96860,PR-SOR 04257,per733458
O Democrata,Periódico,100397,,per882577
O Democrata,Periódico,101671,,per886602
O Deseseis de Dezembro,Periódico,97273,PR-SOR 03560,per714623
O Desfalque,Periódico,96109,PR-SOR 04147,per743860
O Despertador,Periódico,97651,PR-SOR 03014,per704920
O Despertador Municipal,Periódico,29178,"P01B,05,05",per700843
O Diabrete,Periódico,95944,PR-SOR 02246,per758264
O Direito,Periódico,95965,PR-SOR 05515,per756946
O Discipulo,Periódico,95883,PR-SOR 00797,per759180
O Divulgador,Periódico,95779,PR-SOR 04287,per770272
O Domingo,Periódico,95773,PR-SPR 02574,per770280
O Echo Alagoano,Periódico,96013,PR-SOR 03641,per755737
O Echo da Bocaina,Periódico,96161,PR-SOR 04146,per743062
O Echo do S. Francisco,Periódico,95978,PR-SOR 02597,per756156
O Echo dos Artistas,Periódico,97268,PR-SOR 04071,per715778
O Echo Nacional,Periódico,96534,PR-SOR 03392,per737259
O Ensaio,Periódico,95707,PR-SOR 04025,per778320
O Ensaio,Periódico,97490,PR-SOR 02030,per710490
O Ensaio Litterario,Periódico,95910,PR-SOR 03028,per758655
O Equador,Periódico,95728,PR-SOR 04264,per770639
O Espectro,Periódico,98004,PR-SOR 03406,per701530
O Espectro,Periódico,100336,"P17,03,46",per897663
O Especulador,Periódico,95867,PR-SOR 02232,per764299
O Espelho,Periódico,98031,PR-SOR 00092,per700916
O Espelho da Justiça,Periódico,97858,PR-SOR 00317,per702463
O Espelho Diamantino,Periódico,97983,"P01,03,17",per700312
O Estado,Periódico,97463,PR-SOR 02898,per711047
O Estado,Periódico,97720,PR-SOR 02465,per703230
O Estado,Periódico,100166,,per884120
O Estado,Periódico,100170,,per884774
O Estado de Minas Geraes,Periódico,100316,,per305367
O Estado do Rio Grande do Sul,Periódico,100315,,per889229
O Estandarte,Periódico,96572,PR-SOR 02369,per737194
O Estimulo,Periódico,100314,,per882585
O Estravagante,Periódico,96575,PR-SOR 03697,per737135
O Estudante,Periódico,96577,PR-SOR 03698,per737100
O Estudante,Periódico,100296,,per882593
O Exemplo,Periódico,97649,PR-SOR 05680,per373044
O Facho da Civilizaçao,Periódico,96724,PR-SOR 04006,per240877
O Fallador,Periódico,97324,PR-SOR 03533,per348570
O Federalista,Periódico,96183,PR-SOR 04120,per742015
O Ferro em Braza,Periódico,95963,PR-SOR 03408 [1],per227889
O Figaro,Periódico,97544,PR-SOR 00007,per706710
O Filho da Terra,Periódico,97979,PR-SOR 00412,per701726
O Fluminense,Periódico,97822,PR-SOR 00530,per702676
O Folhetim,Periódico,97263,PR-SOR 04007,per340022
O Frivolino,Periódico,95771,PR-SOR 04270,per770310
O Furao,Periódico,95678,PR-SOR 04081,per778427
O Futuro,Periódico,96957,PR-SOR 04246 [1],per305740
O Futuro,Periódico,97663,"P17,03,95",per373494
O Garimpeiro,Periódico,100230,,per874086
O Garoto,Periódico,96935,PR-SOR 02156,per720801
O Gavroche,Periódico,97608,PR-SOR 02331,per705519
O Gigante do norte na Corte,Periódico,96006,PR-SOR 03401,per228591
O Globo,Periódico,96037,PR-SOR 00230[1-2],per749974
O Globo Illustrado,Periódico,97300,PR-SOR 03508,per343242
O Gosto,Periódico,14313,,per700061
O Governista,Periódico,97053,PR-SOR 03404,per718726
O Graphico,Periódico,97396,"P17,04,150",per351105
O Grito da Patria contra os Anarquistas,Periódico,97987,PR-SOR 00414,per701696
O Grito do Povo,Periódico,96513,PR-SOR 04195,per737313
O Guarany,Periódico,96073,PR-SOR 03818,per748390
O Guasca na Corte,Periódico,97496,PR-SOR 02368,per707716
O Guayana,Periódico,96875,PR-SOR 04142,per730220
O Guttemberg,Periódico,96668,PR-SOR 04244,per735531
O Hipotrelico,Periódico,97925,PR-SPR 02743,per480681
O Homem de Cor,Periódico,97947,PR-SOR 00558,per701815
O Homem do Povo,Periódico,97772,PR-SOR 00619,per702803
O Homem e a America,Periódico,97926,PR-SOR 00416,per701955
O Homoeopatha,Periódico,95902,PR-SOR 03171,per758779
O Horizonte,Periódico,97425,PR-SOR 02929,per711098
O Imparcial,Periódico,95832,PR-SPR 00864 [1],per765295
O Imparcial,Periódico,97542,"P19A,04,103",per366072
O Imperio,Periódico,97500,PR-SOR 05645,per364851
O Independente,Periódico,97302,PR-SOR 04274,per714402
O Indicador da Utilidade Pública,Periódico,97908,PR-SOR 00536,per702285
O Indigena do Brasil,Periódico,97973,PR-SOR 00564,per701750
O Instituto,Periódico,100089,,per351938
O Intrujão,Periódico,95892,PR-SOR 03215,per758876
O Jaguarary,Periódico,95807,PR-SOR 05227,per766895
O Jasmim,Periódico,96118,PR-SOR 02763,per233242
O Jasmim,Periódico,97899,PR-SOR 00665,per420000
O Jequitinhonha,Periódico,100088,,per233870
O Joao Pobre,Periódico,95725,PR-SOR 04656,per772160
O Jornal,Periódico,97299,PR-SOR 04297,per714410
O Jornal,Periódico,100001,,per882607
O Juiz do Povo,Periódico,97981,PR-SPR 02450,per701700
O Ladrão,Periódico,98012,PR-SOR 00523,per701440
O Lafuente,Periódico,97898,PR-SOR 00569,per702374
O Leme,Periódico,99999,,per897710
O Liberal,Periódico,97650,PR-SOR 03025,per704946
O Liberal,Periódico,97674,PR-SOR 00335,per376558
O Liberal,Periódico,100067,,per376540
O Liberal de Minas,Periódico,96914,PR-SPR 01428,per720879
O Liberal Parahybano,Periódico,97646,PR-SOR 02999,per704989
O Lince,Periódico,95677,PR-SOR 04082,per778435
O Livro Negro,Periódico,29232,"P02,01,05 n.05",per701084
O Lápis,Periódico,95680,PR-SOR 04075,per778400
O Macaco Brasileiro,Periódico,97991,PR-SOR 00275,per700401
O Mandarim,Periódico,95897,PR-SOR 03204,per758833
O Maniva,Periódico,95710,PR-SOR 04343,per777978
O Martinho,Periódico,96062,PR-SOR 02366,per748471
O Martinho,Periódico,96645,PR-SOR 03498 [1],per237850
O Mensageiro,Periódico,95802,PR-SOR 00862,per767727
O Mercantil,Periódico,95980,PR-SOR 00163[1-7],per228133
O Mercantil,Periódico,96912,PR-SOR 05162,per720895
O Militar no Rio de Janeiro,Periódico,97927,PR-SOR 00511,per701947
O Missionario Catholico,Periódico,96003,PR-SOR 03515 [1],per228460
O Momento,Periódico,99997,,per882615
O Monitor,Periódico,97648,PR-SOR 03046,per704954
O Monitor,Periódico,99995,,per235571
O Monitor,Periódico,99996,,per881970
O Montanista,Periódico,96990,PR-SOR 02365,per719579
O Mosaico,Periódico,28864,PR-SOR 04933-04943,per409600
O Mosaico,Periódico,99993,,per897760
O Mundo Elegante,Periódico,99987,"P31,01,09",per897817
O Municipio,Periódico,96033,PR-SPR 02817,per755133
O Municipio,Periódico,96847,PR-SOR 04261-04298,per259623
O Municipio,Periódico,96908,PR-SOR 05625,per720917
O Municipio,Periódico,99972,,per889237
O Municipio,Periódico,99973,"P11A,04,43",per889199
O Municipio,Periódico,99975,,per889245
O Municipio,Periódico,99976,,per889202
O Municipio de Joinville,Periódico,99960,,per889253
O Municipio Neutro,Periódico,96043,PR-SOR 04058 [1],per230847
O Município,Periódico,99970,,per809578
O Nacional,Periódico,96041,,per230316
O Nacional,Periódico,97426,"P22B,05,01",per357596
O Nacional,Periódico,97662,PR-SPR 01170,per704261
O Nacional,Periódico,97924,PR-SOR 00487,per701963
O Nicodemos,Periódico,96976,PR-SOR 02363,per719803
O Norte do Espirito Santo,Periódico,96297,PR-SOR 00445,per234516
O Noticiador,Periódico,96008,PR-SOR 02453,per755907
O Novo Cantagalo,Periódico,99928,,per175412
O Novo Tamoyo,Periódico,97903,PR-SOR 00420,per702315
O Observador das Gallerias da Assemblea Geral em 1830,Periódico,97849,PR-SOR 00312,per702498
"O Observador Lusitano em Pariz, ou, Colleccao Litteraria, Politica e Commercial",Periódico,99927,"P20A,05,06",per897868
O Operario,Periódico,99926,,per889385
O Ordeiro,Periódico,95676,PR-SOR 04084,per778443
O Orientador,Periódico,99925,,per889393
O Orsatista,Periódico,97208,PR-SOR 02362,per717436
O Padre Malagrida ou a Tezoira,Periódico,99908,,per897914
O Pagode de Catuca,Periódico,97037,PR-SOR 02738,per718815
O Paiz.,Periódico,29063,"P17,04,17",per364843
O Palhaço,Periódico,99905,,per889431
O Palhaço,Periódico,99906,,per889415
O Palhaço,Periódico,99907,,per889423
O Palmense,Periódico,99904,,per889440
O Pandego,Periódico,96010,PR-SOR 02629,per755834
O Pao,Periódico,97710,"P17,03,126",per382132
O Pao d'Assucar,Periódico,96001,PR-SOR 02594,per756040
O Papagaio,Periódico,29173,"P01,04,14",per700495
O Papagaio,Periódico,99900,,per238198
O Papel de pão,Periódico,97930,PR-SPR 02741,per516295
O Paquete do Rio,Periódico,97770,"P02,05,30",per702838
O Par de Tetas,Periódico,97820,PR-SOR 00501,per702692
O Paraense,Periódico,96268,PR-SOR 04021,per739197
O Parafuso,Periódico,99892,,per889466
O Parafuso,Periódico,99897,,per889474
O Parahybano,Periódico,95929,PR-SOR 03008,per758612
O Paraná,Periódico,97397,PR-SPR 00232 [1],per351814
O Pasquim,Periódico,101363,,per124745
O Patriota,Periódico,96093,PR-SOR 04675,per233064
O Patriota,Periódico,97028,PR-SOR 02744,per719161
O Patriota,Periódico,99882,,per889482
O Pega-Tudo,Periódico,99880,,per889490
O Pellegrino,Periódico,99877,,per882623
O Penedense,Periódico,97713,PR-SOR 03645,per703320
O Pequeno Jornal,Periódico,96556,PR-SOR 03803 [1],per235229
O Perilampo Popular,Periódico,98001,PR-SOR 00316,per701661
O Petiz Jornal,Periódico,96769,PR-SOR 02779 [1],per246549
O Pharol,Periódico,96246,PR-SOR 06599 [1],per233846
O Philantropo,Periódico,97198,PR-SOR 02740,per717991
O Phosphoro,Periódico,96441,PR-SOR 03182,per737577
O Piloto,Periódico,97920,PR-SOR 00485,per702048
O Pioneiro,Periódico,99028,,per885959
O Pissilone,Periódico,99848,,per882631
O Poeta,Periódico,96340,PR-SOR 03400,per739073
O Popular,Periódico,95909,PR-SOR 03036,per758671
O Popular,Periódico,97701,PR-SOR 03839,per703850
O Popular,Periódico,99837,,per882640
O Portuguez,Periódico,96270,PR-SOR 03399,per739081
O Portuguez Constitucional,Periódico,99836,"P26,03,36",per897965
"O Portuguez, ou Mercurio",Periódico,99831,"P20A,01,01-02",per898015
O Porvir,Periódico,96421,PR-SOR 03247,per737712
O Porvir,Periódico,96848,PR-SOR 04245,per733694
O Porvir,Periódico,96887,PR-SOR 02653,per726288
O Porvir,Periódico,97874,PR-SOR 04175,per409529
O Positivismo,Periódico,99830,,per898066
O Povo,Periódico,97052,PR-SOR 02285,per718742
O Pregoeiro,Periódico,96877,PR-SOR 03240,per730173
O Progressista,Periódico,97711,PR-SOR 02575,per703338
O Progresso,Periódico,95966,PR-SOR 05488,per756423
O Progresso,Periódico,95976,PR-SPR 02331,per756210
O Progresso,Periódico,96036,PR-SOR 00191[1-5],per749982
O Progresso,Periódico,96105,PR-SOR 05014,per745600
O Progresso,Periódico,96367,PR-SOR 05843,per738034
O Progresso,Periódico,96883,PR-SOR 02754,per730157
O Progresso,Periódico,97266,PR-SOR 05097,per716146
O Progresso,Periódico,97409,PR-SOR 05675,per353116
O Progresso,Periódico,97641,PR-SOR 05184,per705284
O Progresso,Periódico,97700,PR-SOR 04822,per703885
O Propagador de Conhecimentos Uteis,Periódico,97901,PR-SOR 00537,per702340
O Propugnador,Periódico,97902,PR-SOR 00280,per702323
O Propulsor,Periódico,96845,PR-SOR 03172,per259314
O Prático,Periódico,99782,,per882658
O Publicola,Periódico,97906,PR-SOR 00535,per702307
O Pulpito Evangelico,Periódico,97335,PR-SOR 04055,per349321
O Pyrilampo,Periódico,95975,PR-SOR 03647,per756229
O Q.C.V.,Periódico,99662,,per889709
O Radio,Periódico,97473,"P21,04,235",per361496
O Raio,Periódico,99623,,per889717
O Rebate,Periódico,96764,PR-SOR 02781,per245984
O Rebate,Periódico,99622,,per889725
O Redator,Periódico,99618,,per889741
O Regenerador,Periódico,96439,PR-SOR 05721,per737666
O Regenerador,Periódico,97699,PR-SOR 04831,per703915
O Regional,Periódico,99617,,per882666
O Relampago,Periódico,95733,PR-SPR 02580,per770540
O Relator Catharinense,Periódico,99616,,per889750
O Reporter,Periódico,99614,,per889768
O Republicano,Periódico,96241,PR-SOR 02260,per739308
O Republicano,Periódico,97469,PR-SOR 02916-02995,per361275
O Republicano,Periódico,99613,,perm09072
O Republico,Periódico,97154,"P02,05,01-06,06A",per332704
O Reverbero,Periódico,96816,PR-SOR 04238,per733881
O Rio de Janeiro,Periódico,97741,PR-SOR 04196 [A],per384976
O Rio Negrense,Periódico,96901,PR-SPR 00211 [1],per721034
O Rio Negro,Periódico,99612,,per889776
O Rusguentinho,Periódico,98033,"P02,01,01",per700991
O Santelmo,Periódico,95964,PR-SOR 03836,per756997
O Sapo,Periódico,29082,"P16,02,29",per510467
O Saturnino,Periódico,97945,PR-SOR 00554,per701831
O Scenario,Periódico,97539,PR-SOR 05651,per366048
O Seculo,Periódico,96058,PR-SOR 04023,per748668
O Seculo,Periódico,96689,PR-SPR 02230[1-2],per238511
O Semanario Civico,Periódico,97728,PR-SOR 00032,per702870
O Serão,Periódico,96418,PR-SOR 06477,per737801
O Sete de Setembro,Periódico,97817,PR-SOR 00510,per702714
O Simplicio da Roça,Periódico,97988,PR-SOR 00415,per701688
O Sol,Periódico,95731,PR-SOR 04316,per770582
O Sol,Periódico,97895,PR-SOR 00300,per702412
O Soldado e o Marinheiro,Periódico,96238,PR-SOR 03352,per739413
O Sorriso,Periódico,96387,PR-SOR 03705,per737941
O Sorriso,Periódico,97462,"P19B,04,40",per360899
O Suburbano,Periódico,99035,,per366163
O Sylpho,Periódico,29161,"P01,04,08",per700436
O Século,Periódico,99611,,per749567
O Século XIX,Periódico,97707,PR-SPR 01201,per703389
O Tamoyo,Periódico,29175,"P01,04,22",per700533
O Tebyrica,Periódico,96366,PR-SOR 03810,per738255
O Templo,Periódico,97863,PR-SPR 02621-02630,per404012
O Tempo,Periódico,97615,"P17,04,79",per366340
O Tempo,Periódico,97620,PR-SOR 04218,per366359
O Tempo,Periódico,97666,PR-SOR 00187,per704245
O Theatrinho do Senhor Severo,Periódico,98021,PR-SOR 00574,per701408
O Trabalho,Periódico,96039,PR-SOR 04222,per749060
O Trabalho,Periódico,96234,PR-SOR 03378,per739529
O Tribuno do povo,Periódico,96578,PR-SOR 03563,per235466
O Triângulo,Periódico,95854,PR-SPR 00846[1-2],per765090
O Tupy,Periódico,95730,PR-SOR 04292,per770604
O Universal,Periódico,97541,PR-SOR 00766[1-8],per706930
O Universo Illustrado,Periódico,99601,"P31,01,28",per898112
O Valenciano,Periódico,97900,PR-SOR 00495,per702358
O Velho Brazil,Periódico,97074,PR-SOR 02300,per332666
O Vigilante,Periódico,95681,PR-SOR 04065,per778397
O Vigilante,Periódico,99577,,per851906
O Vinte e Cinco de Junho,Periódico,96812,PR-SOR 06608,per258520
O Volantim,Periódico,29122,"P01,04,06",per700410
O Voto,Periódico,95729,PR-SPR 02550,per770612
O Vulcão,Periódico,95675,PR-SOR 04087,per778460
O Ypiranga,Periódico,97665,PR-SOR 05145[1-3],per375420
O Zé Povinho,Periódico,97185,PR-SOR 03315,per718251
Observador,Periódico,99573,,per881988
Oeste de Minas,Periódico,96341,PR-SOR 03538,per234915
Opinião Campanhense,Periódico,95683,PR-SOR 04063,per778370
Orsini,Periódico,95663,PR-SOR 04107,per778575
Os Camões,Periódico,100801,"016,06,01 n.013, ex.1",per897566
Os Ferrões,Periódico,97982,PR-SOR 03475,per700304
Ostensor Polytechnico,Periódico,96419,PR-SOR 03236,per737764
Palcos e Telas,Periódico,97928,PR-SPR 02218[1-3],per480703
Panorama,Periódico,99571,,per882674
Parnazo,Periódico,99570,,per882682
Partido Liberal,Periódico,97716,PR-SOR 03646,per703290
Pelo Mundo,Periódico,99562,,per340901
Pero Gallego,Periódico,99560,"P26,03,43",per898210
Phalange,Periódico,96817,PR-SOR 04211,per258873
Pharol,Periódico,99558,,per891215
Pharol do Imperio,Periódico,97763,PR-SOR 00546,per702846
Polichinello,Periódico,96344,PR-SOR 03710,per738859
Politica,Periódico,99556,,per178233
Politica,Periódico,99557,,per356883
Polyanthea,Periódico,99550,,per895962
Ponto Inicial,Periódico,99549,,per882690
Pontos nos II,Periódico,99546,,per898260
Potyguarania,Periódico,96110,PR-SOR 02758-02782,per233099
Pregoeiro Constitucional,Periódico,96038,"P19B,01,04",per749923
Pro=Familia,Periódico,99533,,per873985
Quixada,Periódico,95876,PR-SPR 00509[1],per763802
Rabo Escondido com o Gato de Fora,Periódico,96865,PR-SOR 02762,per730807
Radiolar,Periódico,98846,,per128856
Recreio da Tarde,Periódico,96368,PR-SOR 06571,per738018
Reform Club,Periódico,95734,PR-SPR 02547,per770523
Relatorio apresentado a Assemblea Geral dos Accionistas da Companhia Uniao e Industria em 31 de Agosto,Periódico,95855,PR-SPR 00021,per765040
Relatório apresentado ao chefe do Governo provisório pelo Vice-Almirante Eduardo Wanderkolk,Periódico,98782,,per873888
Relatório apresentado ao chefe do governo provisório por Francisco Glicerio,Periódico,98826,,per873730
Relatório apresentado ao Exm. Sr. Dr. José Cesario de Faria Alvim,Periódico,101611,,per873381
Relatório apresentado ao generalissimo chefe do governo provisório dos Estados Unidos do Brazil,Periódico,98780,,per873934
Relatório com o Sr. Iº. vice governador do estado do Piauhy,Periódico,101584,,per873233
Relatório com que o Capitão-Tenente Duarte Huet de Bacellar Pinto Guedes,Periódico,101590,,per873586
Relatório com que o Exm. Sr. Dr. José Thomaz da Porciuncula,Periódico,101591,,per873039
Relatório com que o governador do Estado do Alagoas Coronel Pedro Paulino da Fonseca,Periódico,101614,,per872733
Relatório do ministro da fazenda Ruy Barbosa,Periódico,98825,,per873683
Relatório que o cidadão marechal de campo José Simeão de Oliveira,Periódico,101613,,per873187
Repiquete,Periódico,95863,PR-SPR 00688 [1],per764655
Republica,Periódico,98779,,per246573
Revista Academica,Periódico,96866,PR-SOR 05160,per730637
Revista Academica,Periódico,97216,PR-SOR 03531,per336688
Revista Academica,Periódico,98778,,per892610
Revista Brazileira de Ophtalmologia,Periódico,97264,PR-SOR 02761,per340308
Revista Catharinense,Periódico,98775,,per892661
Revista Catharinense,Periódico,98776,,per892416
Revista Catholica,Periódico,96393,PR-SOR 03218,per737917
Revista Commemorativa da Inauguracao do Lyceu Artistico Industrial,Periódico,96392,PR-SOR 05767,per737925
Revista Commercial,Periódico,97714,PR-SOR 02678,per703311
Revista Commercial,Periódico,98761,,per892467
Revista Complexa,Periódico,97277,PR-SOR 04225,per341584
Revista da Associacao Club Academico,Periódico,97819,PR-SOR 05030,per402079
Revista da Associacao dos Guarda-Livros,Periódico,96946,PR-SOR 03716,per719935
Revista da Commissao Technica Militar Consultiva,Periódico,97275,PR-SPR 02831,per341231
Revista da Familia Academica,Periódico,29020,"P17,01,254",per338915
Revista da União Polytechnica,Periódico,96365,PR-SOR 03854,per738441
Revista da Época,Periódico,98725,,per892718
Revista de educação,Periódico,98691,,per892513
Revista de Petropólis,Periódico,98645,,per230537
Revista do Atheneo Medico,Periódico,97192,PR-SOR 03520,per333735
Revista do Brasil,Periódico,98631,,per390062
Revista do Centro Litterario,Periódico,96586,PR-SOR 03326 [1],per236063
Revista do Ensino,Periódico,96364,PR-SOR 03398,per738484
Revista do Gremio Litterario,Periódico,96074,,per232440
Revista do livro,Periódico,98604,,per393541
Revista do Patrimonio Historico e Artistico Nacional,Periódico,96967,PR-SPR 02761,per306975
Revista do Professor do Centro do Professoreado Paulista,Periódico,98585,,per145335
Revista do Retiro Litterario Portuguez,Periódico,96240,PR-SOR 03183,per739340
Revista do Serviço do Patrimônio Histórico e Artístico Nacional,Periódico,98488,,per898562
Revista Financeira,Periódico,97276,PR-SOR 02759,per341576
Revista Fluminense,Periódico,96417,PR-SOR 03517,per737844
Revista Illustrada,Periódico,98530,,per892564
Revista Litteraria,Periódico,96416,PR-SOR 05768,per737887
Revista Litteraria,Periódico,96573,PR-SOR 05795,per737186
Revista Mensal da Secção da Sociedade de Geographia de Lisboa no Brazil,Periódico,97088,PR-SOR 04183,per718513
Revista Mensal do Instituto Scientifico,Periódico,96180,PR-SOR 04898,per742228
Revista moderna,Periódico,99029,,per304026
Revista moderna,Periódico,99031,,per361666
Revista Nacional de Educação,Periódico,98529,,per181614
Revista nova,Periódico,97866,,per404080
Revista Paranaense,Periódico,96187,PR-SOR 04239,per741230
Revista Portugueza,Periódico,98512,,per898317
Revista Rádio Entrevista,Periódico,99530,,per145971
Revista Semanaria dos Trabalhos Legislativos da Camara dos Senhores Deputados dedicada a Assembleia Legislativa do Brasil,Periódico,97944,PR-SOR 00305,per701840
Revista Shell / [Shell-Mex Brazil Limited],Periódico,98509,,per146080
Revista Sul Americana,Periódico,97841,PR-SOR 03243,per403415
Revista Typographica,Periódico,97280,PR-SOR 02805,per341690
Revue Franco-Brésilienne,Periódico,97236,PR-SOR 06601,per339431
Ribaltas e Gambiarras,Periódico,98487,,per898368
Rio noticias,Periódico,98486,,per535265
Rádio Ilustrado,Periódico,99529,,per128791
Rádio Visão,Periódico,98847,,per128830
Sabatina Familiar de Amigos do Bem Commum,Periódico,29089,"P01,03,03",per700207
Salve Rainha,Periódico,98458,,per893110
Salve! Frederico Rolla,Periódico,98453,,per893064
Schutzenliesel,Periódico,98366,,per893269
Sciencia,Periódico,98360,,per893315
Selecta Catholica,Periódico,95714,PR-SOR 04591,per773700
Selecta Catholica,Periódico,98025,"P02,01,28",per701378
Semana Illustrada,Periódico,97670,PR-SOR 05668,per376442
Semanario de Avisos y Conocimientos Utiles,Periódico,97534,"P18B,04,01-08",per709700
Semanario de Saúde Pública,Periódico,97844,PR-SOR 00320,per702560
Semanario Mercantil,Periódico,97494,PR-SOR 00097,per710084
Sentinella da Liberdade no Rio de Janeiro,Periódico,97727,PR-SOR 00497,per702897
Sentinella da Monarchia,Periódico,96940,PR-SOR 06595,per305049
Sergipe,Periódico,28756,,per190012
Sete de Setembro,Periódico,97704,PR-SOR 02598,per703397
Sete de Setembro,Periódico,98048,,per893463
Sete de setembro,Periódico,98356,,per893412
Sete de Setembro,Periódico,98357,,per893510
Shell em revista,Periódico,98355,,per009288
Silva Jardim,Periódico,97296,PR-SOR 04349,per714593
Sineta do Ceo,Periódico,98348,,per893560
So... Rindo,Periódico,98317,,per893668
SOMOV,Periódico,98308,,per882003
SPHAN pro-Memoria / Secretaria do Patrimonio Historico e Artistico Nacional,Periódico,97868,,per408352
Sports,Periódico,97807,,per401153
Suplemento juvenil,Periódico,101361,,per182737
São José,Periódico,98452,,per893218
Tafellieder,Periódico,98304,,per893862
Tam-Tam,Periódico,96230,PR-SOR 03393,per739561
Tejuassu,Periódico,95673,PR-SOR 04095,per778486
Telephone,Periódico,95665,PR-SOR 04104,per778559
Tempo Todo,Periódico,98302,,per882704
Terra Bemdita,Periódico,98299,,per893919
Terra Catharinense,Periódico,98298,,per893960
Terra Ideal,Periódico,98297,,per894010
Terra Tijuquense,Periódico,98278,,per894168
Tesourao,Periódico,98240,,per894214
The British and American Mail,Periódico,97767,PR-SOR 03861,per385140
The Literary Intelligencer and Universal Gleaner,Periódico,96040,PR-SOR 00417,per748951
The Parahyba Times,Periódico,96192,PR-SOR 03074,per741191
Thesoura,Periódico,98239,,per894311
Treze de Maio,Periódico,96235,PR-SOR 02766,per739502
Treze de Maio,Periódico,97030,PR-SOR 02806,per719064
Tribuna Catholica,Periódico,95672,PR-SOR 04096,per778494
Tribuna Catholica,Periódico,95878,PR-SPR 00399,per763551
Tribuna de Lavras,Periódico,98238,,per849464
Tribuna do Povo,Periódico,95670,PR-SOR 04098,per778508
Tribuna do Povo,Periódico,95872,PR-SPR 00543 [1],per763950
Tribuna Liberal,Periódico,95877,PR-SPR 02281,per763608
Tribuna Militar,Periódico,97806,PR-SOR 04223,per393673
Tribuna Popular,Periódico,97703,PR-SOR 02517,per703400
Tribuna Popular,Periódico,98214,PR-SOR 02691,per756105x
Tribuna Popular,Periódico,98217,,per756091xx
