Título,Material,Cód. título,Números de chamada local,Objeto Digital
A Semana,Periódico,95828,PR-SOR 00400,per765643
A Semana Illustrada,Periódico,97723,PR-SOR 02334[1-8],per702951
A Sentinella da Instrucçao,Periódico,96239,PR-SOR 03487,per739391
A Terra da Redempçao,Periódico,96846,PR-SOR 04212,per259357
A Thesoura,Periódico,95726,PR-SOR 05510,per771007
A Thesoura,Periódico,97271,PR-SOR 04181,per714993
A Torre de Babel,Periódico,97917,PR-SOR 00490,per702129
A Tribuna,Periódico,96236,PR SOR 03496 [1],per739499
A Trombeta,Periódico,97918,PR-SOR 00493,per702080
A Uniao Operaria,Periódico,96819,PR-SPr 00063 [1],per259233
A União,Periódico,97890,PR-SOR 02767,per409677
A Vacca,Periódico,95711,PR-SOR 04345,per777960
A Ventarola,Periódico,96227,PR-SOR 04220,per739634
A Verdade,Periódico,96806,PR-SOR 02489 [1],per247863
A Verdade,Periódico,97668,PR-SOR 02764,per375560
A Vida de Hoje,Periódico,95825,PR-SOR 00757,per766151
A Violeta,Periódico,97475,PR-SOR 04627-04631,per361674
A Voz da Razão,Periódico,97980,PR-SOR 00410,per701718
A Voz da Verdade,Periódico,97060,PR-SOR 03405,per718718
A Voz da Verdade,Periódico,97379,PR-SOR 02214,per714191
A Voz do Indio,Periódico,97709,PR-SOR 06673,per381187
A voz do violão,Periódico,96034,,per750271
Abelha Pernambucana,Periódico,95716,PR-SOR 04636,per772631
Aerolitho,Periódico,96587,PR-SOR 03181 [1],per236071
Album do Domingo,Periódico,96279,PR-SOR 03869,per234290
"Almanach administrativo, historico, estatistico e mercantil da provincia do Amazonas",Periódico,97598,PR-SOR 05374 [1],per706078
Almanack Silva Araujo,Periódico,97261,PR-SOR 06672,per339911
"Almanak administrativo, Mercantil e Industrial da Provincia do Ceará",Periódico,97600,PR-SOR 04093,per706043
Almanak de Goyaz,Periódico,97537,PR-SOR 04179,per707180
Almanak do Estado do Espirito Santo,Periódico,97497,PR-SOR 04259,per707317
Almanak dos Negociantes do Imperio do Brasil,Periódico,97560,"P37,03,04",per706191
Alto Araguaya,Periódico,96690,PR-SOR 04172,per734977
Alvorada,Periódico,95801,PR-SOR 04266,per770094
"America do Sul : periodico politico, litterario e noticioso",Periódico,30151,PR-SOR 03380,per385115
Anais do Museu Historico Nacional,Periódico,100215,,per884790
Annaes da Assemblea Nacional Constituinte,Periódico,29074,PR-SPR 02346,per392421
Annaes do Ensaio Academico,Periódico,96181,PR-SOR 04144,per742201
Annuario Industrial,Periódico,29011,PR-SOR 03297 [1],per303879
Aos Homens Honestos,Periódico,98003,PR-SOR 04076,per701548
Araguary,Periódico,96749,PR-SPR 00847,per245119
Arauto,Periódico,101672,,per884952
Arca de Noe,Periódico,97916,PR-SOR 00491,per702137
Archivo das Familias,Periódico,96583,PR-SOR 03371 [1],per236012
Archivo Municipal,Periódico,97314,"P11,08,09",per343358
Archivos de assistencia a infancia,Periódico,97160,PR-SPR 02723,per332798
Archivos de Medicina,Periódico,97272,PR-SOR 03717,per340944
Arthur Oscar,Periódico,97349,PR-SOR 04265,per714267
As Obras de Santa Engracia,Periódico,97949,PR-SOR 00561,per701777
Atalaia,Periódico,29125,"P01,04,07",per700428
Bibliographia Brazileira,Periódico,95891,"P22,05,10",per758906
Bisturi,Periódico,99548,,per884618
Blumenau em cadernos,Periódico,99561,,per884634
Blumenauer Zeitung,Periódico,99847,,per884642
Bocayuva,Periódico,96688,PR-SOR 04176,per734985
Boi de mamão / Fundacao Catarinense de Cultura,Periódico,99921,,per884650
Boletim anti-alcoolico,Periódico,99930,,per884669
Boletim Commercial,Periódico,99978,,per884693
Boletim da Comissão Catarinense de Folclore,Periódico,99940,,per884677
Boletim de Informações,Periódico,100018,,per884731
Boletim do Imperial Instituto Medico Fluminense,Periódico,97221,PR-SOR 03523,per337609
Boletim dos grandes clientes Telesc,Periódico,99958,,per884685
Boletim Escolar,Periódico,99988,,per884715
